Freq (hertz)	Ra (norm)	Xa (norm)	Za (norm)	SPL (dB)	Ze (ohms)	Xd (mm) 	WPhase (deg)	UPhase (deg)	CPhase (deg)	Delay (msec)	Efficiency (%)	Ein (volts)	Pin (watts)	Iin (amps)	ZePhase (deg)
28.406397	0.000565	0.028539	0.028545	75.331155	6.952385	2.049135	146.316983	146.316983	146.316983	3.651911	0.020775	2.830000	0.996007	0.407055	30.161113
28.815578	0.000582	0.028950	0.028956	75.577409	6.995837	2.048623	145.778065	145.778065	145.778065	3.665127	0.022231	2.830000	0.985109	0.404526	30.627158
29.230652	0.000599	0.029366	0.029373	75.823382	7.041267	2.048045	145.229395	145.229395	145.229395	3.678531	0.023796	2.830000	0.973931	0.401916	31.100652
29.651706	0.000616	0.029789	0.029796	76.069055	7.088788	2.047397	144.670776	144.670776	144.670776	3.692115	0.025481	2.830000	0.962469	0.399222	31.581678
30.078825	0.000634	0.030218	0.030225	76.314406	7.138522	2.046674	144.102008	144.102008	144.102008	3.705870	0.027295	2.830000	0.950718	0.396441	32.070313
30.512097	0.000652	0.030653	0.030660	76.559412	7.190599	2.045869	143.522889	143.522889	143.522889	3.719787	0.029250	2.830000	0.938674	0.393569	32.566629
30.951609	0.000671	0.031094	0.031101	76.804048	7.245160	2.044978	142.933214	142.933214	142.933214	3.733854	0.031357	2.830000	0.926335	0.390606	33.070689
31.397452	0.000691	0.031542	0.031549	77.048289	7.302355	2.043995	142.332775	142.332775	142.332775	3.748058	0.033630	2.830000	0.913696	0.387546	33.582550
31.849718	0.000711	0.031996	0.032004	77.292106	7.362348	2.042912	141.721366	141.721366	141.721366	3.762385	0.036083	2.830000	0.900756	0.384388	34.102258
32.308498	0.000731	0.032456	0.032465	77.535472	7.425312	2.041725	141.098773	141.098773	141.098773	3.776820	0.038732	2.830000	0.887511	0.381129	34.629851
32.773887	0.000753	0.032923	0.032932	77.778355	7.491437	2.040424	140.464786	140.464786	140.464786	3.791344	0.041595	2.830000	0.873961	0.377765	35.165352
33.245979	0.000774	0.033397	0.033406	78.020724	7.560928	2.039004	139.819192	139.819192	139.819192	3.805940	0.044691	2.830000	0.860103	0.374293	35.708770
33.724872	0.000797	0.033878	0.033887	78.262543	7.634005	2.037457	139.161778	139.161778	139.161778	3.820586	0.048041	2.830000	0.845939	0.370710	36.260102
34.210663	0.000820	0.034366	0.034375	78.503777	7.710907	2.035773	138.492330	138.492330	138.492330	3.835259	0.051669	2.830000	0.831466	0.367013	36.819324
34.703452	0.000844	0.034860	0.034870	78.744388	7.791896	2.033945	137.810634	137.810634	137.810634	3.849935	0.055600	2.830000	0.816687	0.363198	37.386392
